Date,Time,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal,x,y,z,rp,noiserp,zi,rangeDoppler,rangeArray,dopplerArray,interFrameProcessingTime,transmitOutputTime,interFrameProcessingMargin,interChirpProcessingMargin,activeFrameCPULoad,interFrameCPULoad
02/08/2024,225041,7,"[16.0, 48.0, 82.0, 138.0, 141.0, 145.0, 176.0]","[0.698059, 2.094177, 3.5775526, 6.0207586, 6.151645, 6.32616, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.08725738, -1.6360757, 2.4595673, -4.1392717, -4.0370173, -3.7561574, -0.4799156]","[0.6353262, 1.1808425, 2.5916944, 4.3655086, 4.5636015, 5.089269, 7.6602654]","[-0.27574113, -0.5607534, -0.18036373, -0.241456, -0.8478051, -0.104487196, -0.22731458]",,,,,,,,,,,,
02/08/2024,225042,11,"[14.0, 14.0, 16.0, 16.0, 27.0, 47.0, 82.0, 138.0, 141.0, 145.0, 176.0]","[0.61080164, 0.61080164, 0.698059, 0.698059, 1.1779747, 2.0505483, 3.5775526, 6.020759, 6.151645, 6.32616, 7.67865]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.13361286, 0.17178796, -0.04362869, 0.1963291, 0.25768194, -1.6660705, 2.4595673, -3.9511232, -4.229256, -3.7561574, -0.4799156]","[0.5896859, 0.57343686, 0.6346821, 0.47357583, 0.8995108, 1.0831379, 2.5789156, 4.46606, 4.4048667, 5.0876565, 7.6635942]","[0.0865839, -0.12139911, -0.28733525, 0.47377968, 0.7156148, -0.50573736, -0.31401452, -0.83214957, -0.7438287, -0.16532645, 0.025747435]",,,,,,,,,,,,
02/08/2024,225043,12,"[14.0, 14.0, 16.0, 28.0, 28.0, 47.0, 81.0, 138.0, 141.0, 145.0, 170.0, 176.0]","[0.61080164, 0.61080164, 0.6980591, 1.2216033, 1.2216033, 2.0505483, 3.5339239, 6.020759, 6.1516457, 6.32616, 7.416877, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.09543776, 0.13361286, -0.04362869, 0.0, -0.19087552, -1.6660705, 2.4295726, -3.9511232, -4.0370173, -3.7561574, -4.635548, -0.4799156]","[0.5955309, 0.53632385, 0.6804514, 1.2047384, 1.1894461, 1.0889567, 2.559145, 4.420069, 4.6014876, 5.0887837, 3.27935, 7.6617875]","[0.096505016, -0.25996727, -0.14956224, -0.2022868, -0.202729, -0.49308348, -0.1912385, -1.0493592, -0.6095437, 0.1259356, 4.771543, 0.16838133]",,,,,,,,,,,,
02/08/2024,225044,11,"[14.0, 14.0, 17.0, 17.0, 44.0, 48.0, 81.0, 138.0, 141.0, 145.0, 176.0]","[0.61080164, 0.61080164, 0.7416877, 0.7416877, 1.9196624, 2.094177, 3.533924, 6.020759, 6.151645, 6.3261595, 7.67865]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.1145253, -0.15270041, 0.0, 0.25495514, -1.8596729, -1.6360757, 2.4295726, -3.7629745, -4.0370173, -3.7561574, -0.4799156]","[0.58923364, 0.5852815, 0.7254136, 0.40718365, 0.38258457, 1.2213154, 2.5538652, 4.529846, 4.591889, 5.0884843, 7.663294]","[0.1129881, 0.084892705, -0.15451784, 0.5650664, -0.28345966, -0.4660709, -0.25212643, -1.2530195, -0.67807806, -0.1374988, 0.07258985]",,,,,,,,,,,,
02/08/2024,225044,8,"[14.0, 14.0, 48.0, 81.0, 138.0, 141.0, 145.0, 176.0]","[0.61080164, 0.61080164, 2.094177, 3.533924, 6.020759, 6.1516447, 6.32616, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.09543776, 0.13361286, -1.6360757, 2.4295726, -3.9511232, -4.0370173, -3.7561574, -0.4799156]","[0.58942276, 0.54977846, 1.152382, 2.5474873, 4.390806, 4.5944376, 5.083023, 7.6542463]","[0.12865096, -0.23015186, -0.6171298, -0.3100069, -1.1657549, -0.6605851, -0.27286488, 0.37927285]",,,,,,,,,,,,
02/08/2024,225045,7,"[15.0, 47.0, 82.0, 138.0, 141.0, 145.0, 176.0]","[0.6544303, 2.0505483, 3.5775528, 6.020759, 6.1516447, 6.32616, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.10225474, -1.6019908, 2.5713658, -3.9511232, -4.0370173, -3.7561574, -0.4799156]","[0.6443353, 1.1773174, 2.4364572, 4.385722, 4.615707, 5.0603843, 7.65721]","[-0.051527023, -0.5022927, -0.5006364, -1.184739, -0.4903858, -0.5514416, 0.31380332]",,,,,,,,,,,,
02/08/2024,225046,7,"[15.0, 47.0, 82.0, 138.0, 141.0, 145.0, 176.0]","[0.65443027, 2.0505483, 3.5775528, 6.020759, 6.1516447, 6.32616, 7.67865]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.10225474, -1.6019908, 2.4595673, -3.9511232, -4.0370173, -3.7561574, -0.4799156]","[0.6392882, 1.1761495, 2.577483, 4.3878083, 4.594481, 5.0591383, 7.6601458]","[-0.095569864, -0.50502115, -0.3255661, -1.1769888, -0.66028446, -0.5627612, 0.23132004]",,,,,,,,,,,,
02/08/2024,225047,7,"[14.0, 14.0, 48.0, 138.0, 141.0, 145.0, 176.0]","[0.61080164, 0.61080164, 2.094177, 6.020759, 6.151645, 6.32616, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.13361286, 0.17178796, -1.6360757, -3.9511232, -4.0370173, -3.7561574, -0.4799156]","[0.5957042, 0.58036876, 1.1948177, 4.4076986, 4.577155, 5.065183, 7.6594343]","[0.019046763, -0.08209551, -0.53032464, -1.100163, -0.7712862, -0.5054694, 0.25377643]",,,,,,,,,,,,
02/08/2024,225047,12,"[14.0, 14.0, 16.0, 16.0, 28.0, 28.0, 48.0, 82.0, 138.0, 141.0, 145.0, 176.0]","[0.61080164, 0.61080164, 0.698059, 0.698059, 1.2216033, 1.2216033, 2.094177, 3.5775526, 6.020759, 6.151645, 6.3261595, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.15270041, 0.19087552, -0.06544303, 0.1963291, 0.38175103, -0.076350205, -1.6360757, 2.4595673, -3.9511232, -4.0370173, -3.7561574, -0.2399578]","[0.58764195, 0.55981773, 0.64449453, 0.32877952, 0.7225946, 0.8623667, 1.2269707, 2.5548189, 4.4473295, 4.57934, 5.0568585, 7.6739955]","[0.06661958, -0.15247712, -0.26005846, 0.58364826, 0.90798557, -0.8618637, -0.45097286, -0.47149903, -0.9270522, -0.7582064, -0.5828906, 0.117790274]",,,,,,,,,,,,
02/08/2024,225048,11,"[14.0, 14.0, 16.0, 28.0, 44.0, 48.0, 81.0, 138.0, 141.0, 145.0, 176.0]","[0.61080164, 0.61080164, 0.698059, 1.2216033, 1.9196624, 2.094177, 3.5339239, 6.020759, 6.1516447, 6.32616, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.13361286, 0.19087552, -0.04362869, 0.41992614, -1.7996835, -1.7015188, 2.4295726, -3.9511232, -4.0370173, -3.7561574, -0.2399578]","[0.5876972, 0.5587157, 0.64015776, 0.8770535, 0.59440905, 1.1545649, 2.538933, 4.493384, 4.563745, 5.0544486, 7.6747093]","[0.099188, -0.156467, -0.2749199, 0.739428, -0.30482936, -0.39672542, -0.37364912, -0.66907835, -0.8470307, -0.6034303, -0.053991694]",,,,,,,,,,,,
02/08/2024,225049,8,"[14.0, 16.0, 47.0, 81.0, 138.0, 141.0, 145.0, 176.0]","[0.61080164, 0.698059, 2.0505483, 3.5339239, 6.020759, 6.1516447, 6.32616, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.1145253, -0.04362869, -1.6019908, 2.4295726, -3.9511232, -4.0370173, -3.7561574, -0.2399578]","[0.59318566, 0.6578538, 1.1878389, 2.5534434, 4.5273385, 4.5560293, 5.0452147, 7.673269]","[0.08996339, -0.22937152, -0.4768783, -0.2563615, -0.37599456, -0.8875958, -0.67630255, -0.1581861]",,,,,,,,,,,,
02/08/2024,225050,8,"[15.0, 44.0, 47.0, 81.0, 141.0, 145.0, 148.0, 176.0]","[0.6544303, 1.9196624, 2.0505483, 3.5339236, 6.1516447, 6.32616, 6.457046, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.10225474, -1.7996835, -1.6019908, 2.4295726, -4.0370173, -3.7561574, -3.8338711, -0.2399578]","[0.6391952, 0.60890543, 1.1844031, 2.5443301, 4.5607433, 5.0277114, 5.1836295, 7.6674113]","[-0.096189976, -0.2747312, -0.48534876, -0.33493087, -0.8630467, -0.796052, -0.35335678, -0.3389373]",,,,,,,,,,,,
02/08/2024,225051,10,"[15.0, 28.0, 44.0, 47.0, 81.0, 138.0, 141.0, 145.0, 171.0, 176.0]","[0.6544303, 1.2216033, 1.9196624, 2.0505483, 3.5339239, 6.020759, 6.151645, 6.32616, 7.460506, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.10225474, -0.2290506, -1.7996835, -1.6019908, 2.4295726, -3.9511232, -4.0370173, -3.7561574, -2.0982673, -0.2399578]","[0.6407238, 0.25209573, 0.618955, 1.1802703, 2.5473611, 4.5407577, 4.57867, 5.023998, 5.652381, 7.6634192]","[-0.08541674, 1.1731573, -0.25127217, -0.49531427, -0.31103987, -0.14030913, -0.76224124, -0.8191618, -4.393975, -0.41962472]",,,,,,,,,,,,
02/08/2024,225051,12,"[15.0, 29.0, 29.0, 44.0, 48.0, 51.0, 81.0, 138.0, 141.0, 145.0, 171.0, 176.0]","[0.6544303, 1.265232, 1.265232, 1.9196624, 2.094177, 2.225063, 3.533924, 6.020759, 6.151645, 6.32616, 7.4605055, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.10225474, -0.1976925, -1.028001, -1.8596729, -1.6360757, 1.9469302, 2.4295726, -4.1392717, -4.0370173, -3.7561574, -1.8651265, -0.2399578]","[0.6414489, 1.1888818, 0.2273264, 0.4229848, 1.1709194, 1.018133, 2.5545466, 4.3711, 4.572326, 5.0428, 4.3260527, 7.662628]","[-0.07978942, 0.38508424, -0.70167565, -0.21864165, -0.58118933, -0.35181487, -0.2451265, 0.0972374, -0.79941535, -0.6940806, -5.784956, -0.43382546]",,,,,,,,,,,,
02/08/2024,225052,9,"[15.0, 44.0, 48.0, 51.0, 81.0, 138.0, 141.0, 145.0, 176.0]","[0.6544303, 1.9196624, 2.0941768, 2.225063, 3.5339239, 6.020759, 6.1516447, 6.3261595, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.10225474, -1.8596729, -1.7015188, 1.877397, 2.4295726, -3.9511232, -4.0370173, -3.7561574, -0.2399578]","[0.64258635, 0.4059642, 1.0821134, 1.1475104, 2.5529995, 4.5418835, 4.56239, 5.0584455, 7.658609]","[-0.070041515, -0.24882403, -0.56519157, -0.33091727, -0.26074618, 0.097251035, -0.8542995, -0.5689527, -0.49978733]",,,,,,,,,,,,
02/08/2024,225053,11,"[15.0, 28.0, 28.0, 44.0, 48.0, 52.0, 138.0, 141.0, 145.0, 170.0, 176.0]","[0.6544304, 1.2216033, 1.2216033, 1.9196624, 2.094177, 2.2686918, 6.020759, 6.151645, 6.3261595, 7.416877, 7.6786494]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,"[-0.12270568, -0.30540082, 0.41992614, -1.7996835, -1.6360757, 1.843312, -3.9511232, -4.0370173, -3.7561574, -4.635548, -0.2399578]","[0.64193404, 0.81590384, 0.7450762, 0.6183382, 1.2202258, 1.2275444, 4.541827, 4.5570207, 5.0544877, 1.4566896, 7.6626854]","[-0.033809535, 0.8563561, 0.87226033, -0.2527862, -0.46891636, -0.49223745, 0.09984491, -0.88249177, -0.603103, 5.603554, -0.432819]",,,,,,,,,,,,
